,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,pollCnt,c1Cnt,c1eCnt,c3Cnt,c6Cnt,rxPackets,rxBytes,txPackets,txBytes,erxPackets,erxBytes,etxPackets,etxBytes,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
10,0,0,1,1,600,ondemand,16,45.2,2.46,8.99,0.3,564,337372,56195,54993,501463,4748301,6734845895,4836354,6742899740,11942,780241,38803,38803,37.49357638888889,0.015732544239995944,0.0,0.0,60.385416666666664,2.721551970004504,0.0,0.0,6.038541666666666,0.0,0.0,0.0,599.8148148148148,0.1884708518650707,0.0,0.0,0.0,0.0,0.0,0.0,37.49768518518518,0.014535137433605624,37.49716435185185,0.014815050755081782,115.35069444444444,2.785877304439067,0.0,0.0,11.535069444444446,0.0
11,1,0,1,1,600,ondemand,16,94.37,2.0,10.62,0.08,7621110,0,0,0,0,4750302,6722707984,4858436,6729682978,9573,625922,34954,34954,37.491203703703704,0.02040562531503093,0.0,0.0,59.104166666666664,1.771411345072039,0.0,0.0,5.910416666666666,0.0,0.0,0.0,599.8564814814815,0.2888428857009061,0.0,0.0,0.0,0.0,0.0,0.0,37.490219907407415,0.02013533769219327,37.49021990740741,0.0200392908590497,111.04166666666666,2.8090878677570714,0.0,0.0,11.104166666666668,0.0
12,0,0,1,1,700,ondemand,16,49.16,2.27,9.51,0.27,646,371855,101410,87507,638568,5528148,7844274688,5630117,7853036206,11702,772415,54063,54063,43.75,0.0,0.0,0.0,75.27083333333334,5.897316268848467,0.0,0.0,7.527083333333334,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,43.75,0.0,134.0,4.495837914504989,0.0,0.0,13.4,0.0
13,1,0,1,1,700,ondemand,16,96.23,1.88,10.77,0.11,7451818,0,0,0,0,5496456,7775172376,5609123,7783330343,8789,578686,59218,59218,43.74924768518518,0.014706697370808226,0.0,0.0,69.15625,3.5471942226021014,0.0,0.0,6.915625,0.0,0.0,0.0,699.9648148148148,0.1609087703424543,0.0,0.0,0.0,0.0,0.0,0.0,43.747453703703705,0.012542772990612487,43.74739583333333,0.01276431118648345,124.36458333333334,3.685151489313947,0.0,0.0,12.436458333333334,0.0
14,0,0,1,1,800,ondemand,16,53.67,2.2,10.1,0.25,714,359021,81871,85091,669441,6310806,8945361689,6404360,8952003880,11491,759943,60399,60399,49.97771990740742,0.015542359955216627,0.0,0.0,78.57291666666666,3.683964385561808,0.0,0.0,7.857291666666667,0.0,0.0,0.0,799.7539215686274,0.2354615417416864,0.0,0.0,0.0,0.0,0.0,0.0,49.98686342592593,0.015987939028667176,49.98663194444444,0.01585254206170688,155.1999591503268,3.3008290992389333,0.0,0.0,15.51999591503268,0.0
15,1,0,1,1,800,ondemand,16,99.77,1.67,11.08,0.12,7349677,0,0,0,0,6284511,8885955747,6411133,8895089319,12933,844732,45178,45178,50.0,0.0,0.0,0.0,78.17013888888889,2.9842288437492694,0.0,0.0,7.817013888888889,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,140.90972222222223,2.6875814696260374,0.0,0.0,14.090972222222224,0.0
16,0,0,1,1,900,ondemand,16,57.56,2.04,10.57,0.22,721,487032,137912,117968,806613,7097862,10067957489,7231592,10078664277,10473,686661,39280,39280,56.243287037037035,0.01047548673143408,0.0,0.0,89.96180555555556,5.594437662931288,0.0,0.0,8.996180555555556,0.0,0.0,0.0,899.8796296296296,0.1109103123865841,0.0,0.0,0.0,0.0,0.0,0.0,56.24855324074074,0.011402979706622412,56.248437499999994,0.011514347100609706,173.67871732026146,3.093085004439373,0.0,0.0,17.367871732026142,0.0
17,1,0,1,1,900,ondemand,16,102.9,1.99,11.32,0.09,7331460,0,0,0,0,7125088,10098615361,7282521,10110581744,13870,936776,37871,37871,56.251099537037035,0.029931017856960035,0.0,0.0,97.00347222222221,4.789319144090027,0.0,0.0,9.700347222222224,0.0,0.0,0.0,899.9722222222222,0.4569761049484266,0.0,0.0,0.0,0.0,0.0,0.0,56.24907407407407,0.02896902407728288,56.24913194444444,0.029064461913360602,154.82986111111111,4.083465208872405,0.0,0.0,15.482986111111112,0.0
18,0,0,1,1,1000,ondemand,16,60.82,1.66,11.03,0.19,680,477658,105224,98756,692434,7852420,11125658300,7959209,11132944611,9118,600539,40623,40623,62.493344907407405,0.009118123928325788,0.0,0.0,102.22916666666667,7.778255306800582,0.0,0.0,10.222916666666666,0.0,0.0,0.0,999.85,0.0765780486227308,0.0,0.0,0.0,0.0,0.0,0.0,62.494444444444454,0.009268909888180887,62.4941550925926,0.009235987171375845,193.15625,4.874528596255656,0.0,0.0,19.315624999999997,0.0
19,1,0,1,1,1000,ondemand,16,106.73,1.59,11.66,0.12,7106457,0,0,0,0,7848045,11123956310,7998441,11134620167,13433,906262,112456,112456,62.4974537037037,0.013145083277363781,0.0,0.0,98.25347222222223,4.431793825208919,0.0,0.0,9.825347222222224,0.0,0.0,0.0,999.9416666666668,0.1033766336996064,0.0,0.0,0.0,0.0,0.0,0.0,62.495601851851845,0.009914367973764295,62.49571759259259,0.01005579541618835,175.875,4.212519268072885,0.0,0.0,17.5875,0.0
