,i,itr,dvfs,rate,policy,nwindows,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1.0,100000,ondemand,8,43.93,2.25,11.05,0.34,18150.626215277778,48.48188008890888,0.0,0.0,13.253472222222223,1.6678987641472798,0.0,0.0,1.3253472222222222,0.0,0.0,0.0,99971.0901960784,82.70996357040855,0.0,0.0,16.764705882352942,10.37264168385904,0.0,1.6764705882352942,12526.43761574074,268.28414742022164,36259.065625,173.15518277935865,288.26511437908493,19.835146463518512,0.0,0.0,28.8265114379085,0.0,60
1,0,1,1.0,200000,ondemand,8,73.42,5.33,15.1,0.77,36351.700578703705,79.96700097546594,0.0,0.0,24.03125,2.31009710904012,0.0,0.0,2.403125,0.0,0.0,0.0,199941.7480392157,174.51381342056095,0.0,0.0,77.3529411764706,61.38398064303728,0.0,7.73529411764706,25039.866435185184,303.2906037325579,72663.05300925925,243.63667785817876,612.1940359477123,37.277286642094296,0.0,0.0,61.219403594771244,0.0,60
2,0,1,1.0,300000,ondemand,8,89.56,2.82,17.3,0.49,47272.30856481481,596.8091428254759,0.0,0.0,12.555555555555555,2.101242845636444,0.0,0.0,1.2555555555555555,0.0,0.0,0.0,259749.3107843137,2815.5083989991385,0.0,0.0,258.7647058823529,28.78629047013772,0.0,25.876470588235296,32499.966550925925,612.4234178137445,94570.54375000001,1078.4577996648172,824.9158496732026,55.82234408667787,0.0,0.0,82.49158496732026,0.0,60
3,0,2,1.2,100000,userspace,8,42.83,2.6,12.48,0.55,18123.981828703705,6.165828910948478,0.0,0.0,14.899305555555557,2.2874183482207044,0.0,0.0,1.4899305555555555,0.0,0.0,0.0,99845.67941176472,231.19510367871797,0.0,0.0,133.64705882352942,29.999884659524525,0.0,13.364705882352942,12523.906168300655,272.3567334472158,36258.92847903051,132.09723160407415,592.5355392156863,43.327973888209115,0.0,0.0,59.253553921568624,0.0,60
4,0,2,1.4,100000,userspace,8,41.31,2.6,12.13,0.52,18089.059143518516,63.61216028413051,0.0,0.0,14.121527777777779,1.5319793712868552,0.0,0.0,1.4121527777777776,0.0,0.0,0.0,99924.42156862744,287.29986485421875,0.0,0.0,170.41176470588235,33.038406925575735,0.0,17.041176470588233,12492.235348583876,269.84885108909884,36324.083612472765,150.65042254497843,515.9060457516339,41.78878089690342,0.0,0.0,51.5906045751634,0.0,60
5,0,2,1.6,100000,userspace,8,42.61,2.86,12.02,0.54,18124.422511574074,11.086930738259586,0.0,0.0,14.371527777777779,1.412601534352731,0.0,0.0,1.437152777777778,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,65.0,22.681944101758432,0.0,6.5,12500.042953431372,271.70252965182453,36253.157175925924,133.9760356402225,450.4236111111111,32.78098275715456,0.0,0.0,45.04236111111112,0.0,60
6,0,2,1.8,100000,userspace,8,41.82,2.29,11.65,0.42,18169.950520833336,55.33922032697105,0.0,0.0,14.600694444444445,1.345198295480594,0.0,0.0,1.4600694444444444,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,36.8235294117647,28.23063687080913,0.0,3.682352941176471,12501.861260893245,276.1976904276234,36351.905439814815,181.9207872487416,396.04616013071893,27.52263915451438,0.0,0.0,39.6046160130719,0.0,60
7,0,2,2.0,100000,userspace,8,42.21,2.05,11.45,0.38,18130.168344907404,8.309844326815973,0.0,0.0,13.25,1.44682315854139,0.0,0.0,1.3250000000000002,0.0,0.0,0.0,99950.7774509804,29.816569910285867,0.0,0.0,28.352941176470587,11.023724023644686,0.0,2.835294117647059,12505.357175925925,271.43092468876034,36260.33668981482,135.24648809541085,361.7222222222222,28.774373300281802,0.0,0.0,36.17222222222222,0.0,60
8,0,2,2.2,100000,userspace,8,42.62,2.2,11.35,0.37,18159.590104166666,37.61279359008914,0.0,0.0,12.715277777777779,1.267739755071653,0.0,0.0,1.2715277777777776,0.0,0.0,0.0,100000.57647058825,82.7525716005095,0.0,0.0,16.0,7.483314773547883,0.0,1.6,12524.97427832244,271.87127481793175,36263.16009667756,191.59927241816257,320.0841503267974,22.962356782268813,0.0,0.0,32.00841503267974,0.0,60
9,0,2,2.4,100000,userspace,8,44.9,2.37,11.47,0.38,18085.377662037037,87.17391769306266,0.0,0.0,6.065972222222222,1.3883988437133006,0.0,0.0,0.6065972222222222,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,14.294117647058824,7.582989522860112,0.0,1.4294117647058824,12500.544097222222,275.53784015052656,36095.51898148148,307.8771566231002,306.90890522875816,24.086543887271244,0.0,0.0,30.69089052287582,0.0,60
