07-30 20:56:56 | INFO   | __main__                                 || 0.9976, 80.378448
07-30 20:56:56 | INFO   | __main__                                 || Got retcode 
07-30 20:56:58 | INFO   | __main__                                 || 0.9976, 81.536392
07-30 20:56:58 | INFO   | __main__                                 || Got retcode 
07-30 20:56:59 | INFO   | __main__                                 || 0.9976, 80.225479
07-30 20:57:12 | INFO   | __main__                                 || Got retcode 
07-30 20:57:14 | INFO   | __main__                                 || 0.9978, 82.849899
07-30 20:57:14 | INFO   | __main__                                 || Got retcode 
07-30 20:57:16 | INFO   | __main__                                 || 0.9978, 79.111984
07-30 20:57:16 | INFO   | __main__                                 || Got retcode 
07-30 20:57:17 | INFO   | __main__                                 || 0.9978, 80.511749
07-30 20:57:17 | INFO   | __main__                                 || Got retcode 
07-30 20:57:19 | INFO   | __main__                                 || 0.9978, 81.293182
07-30 20:57:19 | INFO   | __main__                                 || Got retcode 
07-30 20:57:20 | INFO   | __main__                                 || 0.9978, 80.964661
07-30 20:57:20 | INFO   | __main__                                 || Got retcode 
07-30 20:57:22 | INFO   | __main__                                 || 0.9978, 81.945038
07-30 20:57:22 | INFO   | __main__                                 || Got retcode 
07-30 20:57:23 | INFO   | __main__                                 || 0.9973000000000001, 76.823547
07-30 20:57:23 | INFO   | __main__                                 || Got retcode 
07-30 20:57:25 | INFO   | __main__                                 || 0.9973000000000001, 78.306732
07-30 20:57:25 | INFO   | __main__                                 || Got retcode 
07-30 20:57:27 | INFO   | __main__                                 || 0.9973000000000001, 76.625549
07-30 20:57:27 | INFO   | __main__                                 || Got retcode 
07-30 20:57:29 | INFO   | __main__                                 || 0.9973000000000001, 83.051132
07-30 20:57:41 | INFO   | __main__                                 || Got retcode 
07-30 20:57:43 | INFO   | __main__                                 || 0.99735, 72.601685
07-30 20:57:43 | INFO   | __main__                                 || Got retcode 
07-30 20:57:44 | INFO   | __main__                                 || 0.99735, 81.154984
07-30 20:57:44 | INFO   | __main__                                 || Got retcode 
07-30 20:57:46 | INFO   | __main__                                 || 0.99735, 74.763184
07-30 20:57:46 | INFO   | __main__                                 || Got retcode 
07-30 20:57:48 | INFO   | __main__                                 || 0.99735, 76.165619
07-30 20:57:48 | INFO   | __main__                                 || Got retcode 
07-30 20:57:49 | INFO   | __main__                                 || 0.99735, 74.245178
07-30 20:57:49 | INFO   | __main__                                 || Got retcode 
07-30 20:57:51 | INFO   | __main__                                 || 0.99735, 73.941162
07-30 20:57:51 | INFO   | __main__                                 || Got retcode 
07-30 20:57:52 | INFO   | __main__                                 || 0.99735, 73.756516
07-30 20:57:52 | INFO   | __main__                                 || Got retcode 
07-30 20:57:54 | INFO   | __main__                                 || 0.99735, 83.734146
07-30 20:57:54 | INFO   | __main__                                 || Got retcode 
07-30 20:57:55 | INFO   | __main__                                 || 0.99715, 77.536606
07-30 20:57:55 | INFO   | __main__                                 || Got retcode 
07-30 20:57:57 | INFO   | __main__                                 || 0.99715, 79.812714
07-30 20:58:10 | INFO   | __main__                                 || Got retcode 
07-30 20:58:11 | INFO   | __main__                                 || 0.9897499999999999, 72.808762
07-30 20:58:11 | INFO   | __main__                                 || Got retcode 
07-30 20:58:12 | INFO   | __main__                                 || 0.9897499999999999, 72.910492
07-30 20:58:12 | INFO   | __main__                                 || Got retcode 
07-30 20:58:14 | INFO   | __main__                                 || 0.9897499999999999, 71.161682
07-30 20:58:14 | INFO   | __main__                                 || Got retcode 
07-30 20:58:15 | INFO   | __main__                                 || 0.9897499999999999, 74.382065
07-30 20:58:15 | INFO   | __main__                                 || Got retcode 
07-30 20:58:16 | INFO   | __main__                                 || 0.96245, 72.122787
07-30 20:58:16 | INFO   | __main__                                 || Got retcode 
07-30 20:58:17 | INFO   | __main__                                 || 0.96245, 73.244522
07-30 20:58:17 | INFO   | __main__                                 || Got retcode 
07-30 20:58:19 | INFO   | __main__                                 || 0.96245, 73.319351
07-30 20:58:19 | INFO   | __main__                                 || Got retcode 
07-30 20:58:20 | INFO   | __main__                                 || 0.96245, 70.517319
07-30 20:58:20 | INFO   | __main__                                 || Got retcode 
07-30 20:58:21 | INFO   | __main__                                 || 0.96245, 70.944
07-30 20:58:21 | INFO   | __main__                                 || Got retcode 
07-30 20:58:23 | INFO   | __main__                                 || 0.96245, 76.229156
07-30 20:58:34 | INFO   | __main__                                 || Got retcode 
07-30 20:58:36 | INFO   | __main__                                 || 0.94955, 80.99527
07-30 20:58:36 | INFO   | __main__                                 || Got retcode 
07-30 20:58:37 | INFO   | __main__                                 || 0.9296500000000001, 82.20932
07-30 20:58:37 | INFO   | __main__                                 || Got retcode 
07-30 20:58:38 | INFO   | __main__                                 || 0.9296500000000001, 83.409546
07-30 20:58:38 | INFO   | __main__                                 || Got retcode 
07-30 20:58:39 | INFO   | __main__                                 || 0.9296500000000001, 80.644791
07-30 20:58:39 | INFO   | __main__                                 || Got retcode 
07-30 20:58:41 | INFO   | __main__                                 || 0.9296500000000001, 80.041626
07-30 20:58:41 | INFO   | __main__                                 || Got retcode 
07-30 20:58:42 | INFO   | __main__                                 || 0.9296500000000001, 83.09726
07-30 20:58:42 | INFO   | __main__                                 || Got retcode 
07-30 20:58:43 | INFO   | __main__                                 || 0.9296500000000001, 79.134109
07-30 20:58:43 | INFO   | __main__                                 || Got retcode 
07-30 20:58:44 | INFO   | __main__                                 || 0.9296500000000001, 81.350632
07-30 20:58:44 | INFO   | __main__                                 || Got retcode 
07-30 20:58:46 | INFO   | __main__                                 || 0.9296500000000001, 79.237595
07-30 20:58:46 | INFO   | __main__                                 || Got retcode 
07-30 20:58:47 | INFO   | __main__                                 || 0.9296500000000001, 80.367584
07-30 20:58:59 | INFO   | __main__                                 || Got retcode 
07-30 20:59:00 | INFO   | __main__                                 || 0.9296500000000001, 72.774918
07-30 20:59:00 | INFO   | __main__                                 || Got retcode 
07-30 20:59:01 | INFO   | __main__                                 || 0.9296500000000001, 70.601456
07-30 20:59:01 | INFO   | __main__                                 || Got retcode 
07-30 20:59:03 | INFO   | __main__                                 || 0.9296500000000001, 73.447144
07-30 20:59:03 | INFO   | __main__                                 || Got retcode 
07-30 20:59:04 | INFO   | __main__                                 || 0.9296500000000001, 70.83197
07-30 20:59:04 | INFO   | __main__                                 || Got retcode 
07-30 20:59:05 | INFO   | __main__                                 || 0.9296500000000001, 72.408478
07-30 20:59:05 | INFO   | __main__                                 || Got retcode 
07-30 20:59:07 | INFO   | __main__                                 || 0.9296500000000001, 71.753601
07-30 20:59:07 | INFO   | __main__                                 || Got retcode 
07-30 20:59:08 | INFO   | __main__                                 || 0.9296500000000001, 74.555634
07-30 20:59:08 | INFO   | __main__                                 || Got retcode 
07-30 20:59:09 | INFO   | __main__                                 || 0.92425, 76.312881
07-30 20:59:09 | INFO   | __main__                                 || Got retcode 
07-30 20:59:10 | INFO   | __main__                                 || 0.92425, 82.630203
07-30 20:59:10 | INFO   | __main__                                 || Got retcode 
07-30 20:59:12 | INFO   | __main__                                 || 0.92425, 79.630646
07-30 20:59:29 | INFO   | __main__                                 || Got retcode 
07-30 20:59:30 | INFO   | __main__                                 || 0.9390000000000001, 88.543793
07-30 20:59:30 | INFO   | __main__                                 || Got retcode 
07-30 20:59:32 | INFO   | __main__                                 || 0.9390000000000001, 87.782318
07-30 20:59:32 | INFO   | __main__                                 || Got retcode 
07-30 20:59:33 | INFO   | __main__                                 || 0.9390000000000001, 89.16478
07-30 20:59:33 | INFO   | __main__                                 || Got retcode 
07-30 20:59:34 | INFO   | __main__                                 || 0.9390000000000001, 88.847549
07-30 20:59:34 | INFO   | __main__                                 || Got retcode 
07-30 20:59:35 | INFO   | __main__                                 || 0.9390000000000001, 88.797867
07-30 20:59:35 | INFO   | __main__                                 || Got retcode 
07-30 20:59:36 | INFO   | __main__                                 || 0.9390000000000001, 88.16452
07-30 20:59:36 | INFO   | __main__                                 || Got retcode 
07-30 20:59:38 | INFO   | __main__                                 || 0.9390000000000001, 88.033524
07-30 20:59:38 | INFO   | __main__                                 || Got retcode 
07-30 20:59:39 | INFO   | __main__                                 || 0.9390000000000001, 88.488861
07-30 20:59:39 | INFO   | __main__                                 || Got retcode 
07-30 20:59:40 | INFO   | __main__                                 || 0.9431, 88.311768
07-30 20:59:40 | INFO   | __main__                                 || Got retcode 
07-30 20:59:41 | INFO   | __main__                                 || 0.9431, 90.581482
07-30 20:59:57 | INFO   | __main__                                 || Got retcode 
07-30 20:59:58 | INFO   | __main__                                 || 0.94235, 87.279083
07-30 20:59:58 | INFO   | __main__                                 || Got retcode 
07-30 20:59:59 | INFO   | __main__                                 || 0.94235, 88.857361
07-30 20:59:59 | INFO   | __main__                                 || Got retcode 
07-30 21:00:01 | INFO   | __main__                                 || 0.94235, 88.313522
07-30 21:00:01 | INFO   | __main__                                 || Got retcode 
07-30 21:00:02 | INFO   | __main__                                 || 0.9433, 88.280609
07-30 21:00:02 | INFO   | __main__                                 || Got retcode 
07-30 21:00:03 | INFO   | __main__                                 || 0.9433, 87.77951
07-30 21:00:03 | INFO   | __main__                                 || Got retcode 
07-30 21:00:04 | INFO   | __main__                                 || 0.9433, 88.228256
07-30 21:00:04 | INFO   | __main__                                 || Got retcode 
07-30 21:00:05 | INFO   | __main__                                 || 0.9433, 88.343048
07-30 21:00:05 | INFO   | __main__                                 || Got retcode 
07-30 21:00:07 | INFO   | __main__                                 || 0.9433, 88.614243
07-30 21:00:07 | INFO   | __main__                                 || Got retcode 
07-30 21:00:08 | INFO   | __main__                                 || 0.9433, 87.796188
07-30 21:00:08 | INFO   | __main__                                 || Got retcode 
07-30 21:00:09 | INFO   | __main__                                 || 0.9433, 87.978943
07-30 21:00:22 | INFO   | __main__                                 || Got retcode 
07-30 21:00:24 | INFO   | __main__                                 || 0.9756, 87.634659
07-30 21:00:24 | INFO   | __main__                                 || Got retcode 
07-30 21:00:25 | INFO   | __main__                                 || 0.9756, 88.37146
07-30 21:00:25 | INFO   | __main__                                 || Got retcode 
07-30 21:00:26 | INFO   | __main__                                 || 0.9756, 87.85051
07-30 21:00:26 | INFO   | __main__                                 || Got retcode 
07-30 21:00:27 | INFO   | __main__                                 || 0.9756, 88.402374
07-30 21:00:27 | INFO   | __main__                                 || Got retcode 
07-30 21:00:29 | INFO   | __main__                                 || 0.9756, 88.687103
07-30 21:00:29 | INFO   | __main__                                 || Got retcode 
07-30 21:00:30 | INFO   | __main__                                 || 0.9756, 88.280685
07-30 21:00:30 | INFO   | __main__                                 || Got retcode 
07-30 21:00:31 | INFO   | __main__                                 || 0.9756, 88.486298
07-30 21:00:31 | INFO   | __main__                                 || Got retcode 
07-30 21:00:32 | INFO   | __main__                                 || 0.9756, 88.451813
07-30 21:00:32 | INFO   | __main__                                 || Got retcode 
07-30 21:00:33 | INFO   | __main__                                 || 1.0000499999999999, 88.823868
07-30 21:00:33 | INFO   | __main__                                 || Got retcode 
07-30 21:00:35 | INFO   | __main__                                 || 1.0000499999999999, 87.813797
07-30 21:00:47 | INFO   | __main__                                 || Got retcode 
07-30 21:00:49 | INFO   | __main__                                 || 1.0, 76.508667
07-30 21:00:49 | INFO   | __main__                                 || Got retcode 
07-30 21:00:50 | INFO   | __main__                                 || 1.0, 73.705826
07-30 21:00:50 | INFO   | __main__                                 || Got retcode 
07-30 21:00:51 | INFO   | __main__                                 || 1.0, 75.242615
07-30 21:00:51 | INFO   | __main__                                 || Got retcode 
07-30 21:00:52 | INFO   | __main__                                 || 1.0, 84.701859
07-30 21:00:52 | INFO   | __main__                                 || Got retcode 
07-30 21:00:54 | INFO   | __main__                                 || 1.0, 77.096222
07-30 21:00:54 | INFO   | __main__                                 || Got retcode 
07-30 21:00:55 | INFO   | __main__                                 || 0.99445, 74.305908
07-30 21:00:55 | INFO   | __main__                                 || Got retcode 
07-30 21:00:56 | INFO   | __main__                                 || 0.99445, 76.310211
07-30 21:00:56 | INFO   | __main__                                 || Got retcode 
07-30 21:00:58 | INFO   | __main__                                 || 0.99445, 79.274124
07-30 21:00:58 | INFO   | __main__                                 || Got retcode 
07-30 21:00:59 | INFO   | __main__                                 || 0.99445, 78.645737
07-30 21:00:59 | INFO   | __main__                                 || Got retcode 
07-30 21:01:00 | INFO   | __main__                                 || 0.99445, 75.623245
07-30 21:01:15 | INFO   | __main__                                 || Got retcode 
07-30 21:01:16 | INFO   | __main__                                 || 0.9804999999999999, 86.671967
07-30 21:01:16 | INFO   | __main__                                 || Got retcode 
07-30 21:01:18 | INFO   | __main__                                 || 0.9804999999999999, 85.973938
07-30 21:01:18 | INFO   | __main__                                 || Got retcode 
07-30 21:01:19 | INFO   | __main__                                 || 0.9804999999999999, 86.320038
07-30 21:01:19 | INFO   | __main__                                 || Got retcode 
07-30 21:01:20 | INFO   | __main__                                 || 0.9804999999999999, 86.650818
07-30 21:01:20 | INFO   | __main__                                 || Got retcode 
07-30 21:01:21 | INFO   | __main__                                 || 0.9804999999999999, 86.357742
07-30 21:01:21 | INFO   | __main__                                 || Got retcode 
07-30 21:01:23 | INFO   | __main__                                 || 0.9804999999999999, 86.42308
07-30 21:01:23 | INFO   | __main__                                 || Got retcode 
07-30 21:01:24 | INFO   | __main__                                 || 0.9804999999999999, 86.038757
07-30 21:01:24 | INFO   | __main__                                 || Got retcode 
