STATE,CORE_ENERGY,PKG_ENERGY,RAM_ENERGY,POLL_USAGE,C1_USAGE,C1E_USAGE,C3_USAGE,C6_USAGE,POLL_TIME,C1_TIME,C1E_TIME,C3_TIME,C6_TIME
0,65.87,283.85,421.99,9045381,124038827,8753603,8622197,124221928,2233565516,10747321227,2763159536,5188832415,2797403949369
1,61.78,269.59,423.75,9045381,124038937,8753708,8622398,124235873,2233565516,10747331980,2763179674,5188925840,2797911656842
2,61.18,263.82,426.31,9045425,124038954,8753867,8622580,124250838,2233569051,10747332600,2763220698,5188982239,2798421113854
3,60.57,263.06,419.75,9045435,124038954,8754178,8622766,124265386,2233569753,10747332600,2763354450,5189039485,2798930183230
4,62.01,271.59,422.27,9045452,124039130,8754254,8622971,124279793,2233571134,10747416389,2763364083,5189094746,2799439495934
5,63.56,274.36,424.16,9045452,124039520,8754254,8623189,124294263,2233571134,10747592946,2763364083,5189154492,2799948164742
6,62.73,271.29,423.63,9045642,124039597,8754254,8623488,124308706,2233598313,10747600985,2763364083,5189343879,2800457160852
7,62.27,267.99,422.09,9045659,124039597,8754254,8623902,124323266,2233600746,10747600985,2763364083,5189444249,2800966161827
8,64.37,277.81,417.59,9045685,124039828,8754392,8624075,124338179,2233604441,10747630818,2763407365,5189489300,2801475857650
9,63.47,271.83,420.05,9045685,124040105,8754653,8624075,124353157,2233604441,10747672155,2763469690,5189489300,2801985445984
10,63.22,269.93,416.52,9045725,124040152,8754977,8624075,124368024,2233607539,10747678066,2763544427,5189489300,2802495273357
11,65.88,280.50,426.06,9045734,124040152,8755410,8624075,124383593,2233608193,10747678066,2763701159,5189489300,2803005094515
12,64.12,276.31,426.63,9045749,124040518,8755595,8624075,124398361,2233609778,10747817101,2763742535,5189489300,2803514643197
13,64.12,280.09,418.78,9045749,124040934,8755595,8624075,124413446,2233609778,10747893825,2763742535,5189489300,2804024262287
14,64.57,278.55,418.07,9045973,124041046,8755595,8624075,124428630,2233659574,10747911870,2763742535,5189489300,2804533865849
15,62.34,268.06,416.90,9046016,124041046,8755595,8624075,124443804,2233668535,10747911870,2763742535,5189489300,2805043608860
16,75.84,276.30,417.61,9046055,124041197,8755672,8630814,124452091,2233676969,10747985626,2763759368,5674929077,2805067583471
17,75.93,279.59,415.91,9046055,124041329,8755793,8645623,124452091,2233676969,10748056588,2763778655,6183465129,2805067583471
18,78.74,286.35,416.76,9046114,124041360,8755971,8660856,124452091,2233681752,10748060781,2763876272,6692330162,2805067583471
19,74.41,273.98,414.23,9046122,124041360,8756156,8675204,124452091,2233682407,10748060781,2763920464,7201213573,2805067583471
20,75.09,272.12,418.80,9046131,124041513,8756223,8690387,124452091,2233683248,10748129627,2763929439,7710092071,2805067583471
21,73.98,268.96,415.50,9046131,124041714,8756223,8703741,124452091,2233683248,10748168628,2763929439,8215980126,2805067583471
22,75.01,273.55,414.56,9046330,124041781,8756223,8717117,124452091,2233712155,10748177510,2763929439,8721701251,2805067583471
23,75.78,279.52,421.39,9046359,124041781,8756223,8730961,124452091,2233716388,10748177510,2763929439,9227970608,2805067583471
24,524.45,1269.62,546.95,9046378,124041900,8764743,8737228,124452091,2233719064,10748245224,3253732145,9245179337,2805067583471
25,526.20,1271.55,546.18,9046378,124042068,8780179,8737228,124452091,2233719064,10748352338,3762984598,9245179337,2805067583471
26,526.88,1272.55,546.13,9046459,124042116,8795718,8737228,124452091,2233725335,10748354992,4270249005,9245179337,2805067583471
27,525.69,1271.55,545.75,9046471,124042116,8811387,8737228,124452091,2233726089,10748354992,4779276988,9245179337,2805067583471
28,534.48,1280.88,546.79,9046480,124051147,8816661,8737228,124452091,2233726911,11239480412,4793294984,9245179337,2805067583471
29,545.23,1291.74,546.99,9046480,124065243,8816661,8737228,124452091,2233726911,11741194584,4793294984,9245179337,2805067583471
30,930.94,1678.34,546.73,11024175,124068500,8816661,8737228,124452091,2726322967,11748173156,4793294984,9245179337,2805067583471
31,928.18,1676.54,546.49,13034023,124068500,8816661,8737228,124452091,3226631899,11748173156,4793294984,9245179337,2805067583471
