STATE,CORE_ENERGY,PKG_ENERGY,RAM_ENERGY,POLL_USAGE,C1_USAGE,C1E_USAGE,C3_USAGE,C6_USAGE,POLL_TIME,C1_TIME,C1E_TIME,C3_TIME,C6_TIME
0,75.64,298.44,417.25,94519,124004475,8684703,8498146,123986471,4360842,9745134370,726756073,1118635576,2789253492624
1,61.80,267.04,414.40,94519,124004776,8684826,8498353,124001422,4360842,9745206918,726775113,1118696033,2789764305466
2,62.82,269.55,418.69,94578,124004805,8684964,8498563,124016715,4365393,9745208261,726828650,1118760776,2790273891729
3,60.22,260.11,417.10,94591,124004805,8685217,8498774,124031661,4366309,9745208261,726939892,1118828713,2790784389880
4,61.36,265.50,416.97,94608,124004922,8685419,8498946,124046540,4367689,9745249718,726981591,1118879369,2791295039149
5,64.90,282.01,415.68,94608,124005176,8685419,8499126,124061957,4367689,9745362506,726981591,1118928045,2791805863084
6,62.78,273.02,416.61,94841,124005265,8685419,8499374,124077077,4402796,9745370988,726981591,1118993656,2792315625334
7,60.40,260.30,415.36,94857,124005265,8685419,8500046,124091817,4404919,9745370988,726981591,1119169582,2792826334650
8,62.47,264.63,416.95,94887,124005519,8685570,8500251,124106770,4409473,9745554831,727019866,1119220789,2793335887316
9,63.55,268.62,420.20,94887,124005909,8685909,8500251,124121419,4409473,9745680266,727100617,1119220789,2793845279583
10,63.78,277.46,420.12,94931,124005938,8686233,8500251,124135530,4412892,9745681953,727207852,1119220789,2794351697053
11,61.63,267.36,422.83,94946,124005938,8686608,8500251,124149516,4413950,9745681953,727307375,1119220789,2794858688874
12,60.96,262.68,420.72,94964,124006168,8686765,8500251,124163031,4415437,9745780276,727340745,1119220789,2795365458540
13,60.14,259.42,423.81,94964,124006584,8686765,8500251,124176778,4415437,9745884716,727340745,1119220789,2795871926842
14,63.45,275.47,422.48,95288,124006784,8686765,8500251,124190969,4487504,9745927246,727340745,1119220789,2796378661289
15,62.58,272.19,423.06,95333,124006784,8686765,8500251,124206158,4496208,9745927246,727340745,1119220789,2796889195757
16,77.18,283.49,416.94,95379,124006987,8686851,8506623,124214777,4505844,9746010046,727356685,1600672569,2796918822397
17,76.94,282.29,422.48,95379,124007103,8686957,8521955,124214777,4505844,9746059600,727372820,2110815955,2796918822397
18,81.16,292.53,422.09,95432,124007143,8687107,8538174,124214777,4510184,9746061622,727407718,2620791413,2796918822397
19,80.49,291.08,423.15,95443,124007143,8687326,8553453,124214777,4511090,9746061622,727504021,3129622826,2796918822397
20,81.34,296.19,418.78,95462,124007352,8687394,8568648,124214777,4512846,9746158946,727511848,3638536940,2796918822397
21,78.50,288.11,422.80,95462,124007566,8687394,8583862,124214777,4512846,9746210933,727511848,4147176617,2796918822397
22,78.27,286.49,416.00,95642,124007632,8687394,8598517,124214777,4540108,9746218610,727511848,4656210410,2796918822397
23,76.87,280.38,417.01,95671,124007632,8687394,8613794,124214777,4544184,9746218610,727511848,5165915511,2796918822397
24,524.33,1269.62,546.23,95691,124007929,8697779,8620525,124214777,4547099,9746294515,1217429512,5184671985,2796918822397
25,526.31,1271.83,545.90,95691,124008110,8713613,8620525,124214777,4547099,9746336961,1726645504,5184671985,2796918822397
26,526.55,1272.18,546.07,95750,124008160,8730511,8620525,124214777,4551405,9746339290,2235861826,5184671985,2796918822397
27,528.29,1274.17,545.93,95768,124008160,8746743,8620525,124214777,4552829,9746339290,2745084946,5184671985,2796918822397
28,555.81,1302.13,545.95,95780,124018974,8751999,8620525,124214777,4553801,10237104035,2759163512,5184671985,2796918822397
29,550.08,1296.51,545.55,95780,124034347,8751999,8620525,124214777,4553801,10737499081,2759163512,5184671985,2796918822397
30,924.23,1671.71,546.86,2390146,124037420,8751999,8620525,124214777,576062095,10744282406,2759163512,5184671985,2796918822397
31,922.80,1670.99,546.59,4393634,124037420,8751999,8620525,124214777,1074824417,10744282406,2759163512,5184671985,2796918822397
