,itr,dvfs,rate,watts_avg,watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
13,2.0,2.5,200000.0,74.01,1.0,1400000.9,9.546405,0.0,0.0,540.0833,13.307435,0.0,0.0,54.008335,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,29.914286,12.492604,0.0,2.9914286,175000.0,0.0,175000.0,0.0,399.00626,6.80443,71.58125,26.133516,39.900623,7.158125
14,2.0,2.6,200000.0,75.82,0.89,1400000.0,0.31712636,0.0,0.0,264.45,28.591059,0.0,0.0,26.445,0.0,0.0,0.0,199999.31,1.2734156,0.0,0.0,3.892857,2.21426,0.0,0.3892857,174999.98,0.036862116,174999.98,0.03755048,408.4875,7.4355597,0.41041666,1.3174783,40.84875,0.04104167
15,100.0,1.2,200000.0,62.27,0.55,1399851.8,247.55103,0.0,0.0,538.23334,8.440758,0.0,0.0,53.823334,0.0,0.0,0.0,199978.6,58.00551,0.0,0.0,350.34286,11.050641,0.0,35.034286,174985.69,167.64883,174985.7,167.62956,870.8812,22.891838,0.0125,0.06731456,87.08813,0.00125
16,100.0,1.3,200000.0,63.58,0.84,1400032.0,102.265564,0.0,0.0,530.01666,9.4588175,0.0,0.0,53.001667,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,287.97382,8.744168,0.0,28.79738,175004.25,21.80268,175004.25,21.792797,808.9229,23.178661,0.0,0.0,80.89229,0.0
17,100.0,1.4,200000.0,62.45,0.8,1399826.2,270.97067,0.0,0.0,533.05,6.6489277,0.0,0.0,53.305,0.0,0.0,0.0,199976.94,91.53655,0.0,0.0,256.84525,6.9276433,0.0,25.684525,174980.02,258.2248,174980.02,258.2125,738.875,18.740759,0.0020833334,0.011219094,73.8875,0.00020833334
18,100.0,1.5,200000.0,67.03,0.84,1399815.6,337.22205,0.0,0.0,551.23334,10.855486,0.0,0.0,55.123333,0.0,0.0,0.0,199984.72,80.20861,0.0,0.0,264.25238,7.0131545,0.0,26.425238,174979.53,238.49373,174979.53,238.48914,777.3771,18.827906,0.0,0.0,77.73771,0.0
19,100.0,1.6,200000.0,62.27,0.91,1400000.0,0.0,0.0,0.0,232.53334,10.552747,0.0,0.0,23.253334,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,137.96906,8.0913315,0.0,13.796905,174999.64,0.83932155,174999.64,0.8353466,633.5292,15.187453,0.0,0.0,63.352917,0.0
20,100.0,1.7,200000.0,69.42,0.8,1400054.0,496.11435,0.0,0.0,546.75,10.731373,0.0,0.0,54.675,0.0,0.0,0.0,200001.0,89.915276,0.0,0.0,160.40475,8.229357,0.0,16.040476,174999.9,184.78201,174999.9,184.77185,672.8,20.015186,0.175,0.37102482,67.28,0.0175
21,100.0,1.8,200000.0,66.07,0.82,1399777.0,756.4119,0.0,0.0,537.65,8.433387,0.0,0.0,53.765,0.0,0.0,0.0,199965.66,101.8449,0.0,0.0,111.46191,8.079125,0.0,11.146191,174980.45,133.36401,174980.44,133.32524,596.74164,16.945627,1.5395833,1.7278547,59.674168,0.15395834
22,100.0,1.9,200000.0,65.37,0.96,1399551.2,1005.0417,0.0,0.0,530.23334,9.549859,0.0,0.0,53.023335,0.0,0.0,0.0,199982.44,129.72417,0.0,0.0,69.9881,7.029391,0.0,6.9988093,174975.05,94.20313,174975.06,94.20226,547.225,12.706321,8.420834,5.2492085,54.7225,0.84208333
